本基金收益率数据由邢不行整理，包含了2008年-2021年所有主动偏股型基金，并剔除当年新上市基金，同一个基金的A类/C类份额中只取A类。,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
519017.OF,-0.543181199,0.642969984,0.128502416,-0.267129957,-0.032178218,0.116368286,0.217640321,0.72261236,-0.090110328,0.181719919,-0.281837694,0.584398977,0.601386482,0.248817899
040011.OF,,0.644307936,0.035076545,-0.307718065,0.117412334,0.066118386,0.357084856,0.292969334,0.05420258,0.186786655,-0.114263218,0.418212274,0.751638357,0.15675415
530003.OF,-0.552242055,0.646572679,0.044877473,-0.285202976,0.0395309,0.123209532,0.338223677,0.545285883,-0.071381794,0.091854725,-0.177942839,0.431283965,0.56309515,0.038524843
260110.OF,-0.5265625,0.650165017,-0.138,-0.218097448,0.008902077,0.3,0.334841629,0.192372881,-0.13926523,0.450151058,-0.244579534,0.515021459,0.44984288,-0.08311314
290004.OF,-0.55005853,0.651102287,0.005382186,-0.34090501,-0.032965537,0.167910974,0.249306477,0.498069125,-0.285790434,-0.166400851,-0.298596939,0.407892344,0.604236632,0.035765252
310328.OF,-0.586318113,0.651676681,-0.049745898,-0.326593422,0.109898526,0.091771606,0.382524886,0.261793233,-0.137590798,0.062420272,-0.243455953,0.499779541,0.578829637,0.240393993
519110.OF,,0.653379549,0.01048218,-0.252074689,0.048543689,0.276455026,0.494300518,0.567962555,-0.250067431,-0.01713844,-0.341316703,0.431670282,0.556818181,0.258511464
310358.OF,-0.542444075,0.654141759,-0.04104285,-0.27039031,0.04039845,0.219680851,0.08780346,0.35774422,-0.179305724,0.408886731,-0.331171441,0.315833103,0.491705166,0.506103495
450002.OF,-0.436795027,0.654299438,0.048819769,-0.237421555,0.136532049,0.037326813,0.079780111,0.480158547,-0.017922023,0.355156506,-0.175798321,0.401846134,0.445268601,0.008997585
213003.OF,-0.510110854,0.660624416,-0.129559304,-0.225750812,0.057266414,0.013014378,0.614957086,0.595322394,-0.263075023,-0.064423902,-0.293266782,0.335831652,0.537872249,0.12160023
161903.OF,-0.504196659,0.665239393,-0.035661164,-0.281417696,-0.034734283,-0.010615329,0.026913984,0.770143439,0.015870149,0.008103721,-0.126593256,0.898310245,0.973222208,0.042975116
202011.OF,,0.668369407,0.206577771,-0.258091523,0.120925342,0.128517824,0.351620948,0.696648113,-0.183976441,0.213857049,-0.223764094,0.539664805,0.561316641,-0.035818382
