code,name,industry,area
603926,铁流股份,汽车配件,浙江
300360,炬华科技,电器仪表,浙江
600998,九州通,医药商业,湖北
000524,岭南控股,酒店餐饮,广东
300227,光韵达,元器件,深圳
002850,科达利,机械基件,深圳
601108,财通证券,证券,浙江
300172,中电环保,环境保护,江苏
603496,恒为科技,电脑设备,上海
603587,地素时尚,服饰,上海
603186,华正新材,元器件,浙江
300076,GQY视讯,电脑设备,浙江
002898,赛隆药业,化学制药,广东
300472,新元科技,专用机械,北京
002414,高德红外,电器仪表,湖北
603500,祥和实业,运输设备,浙江
600288,大恒科技,软件服务,北京
603980,吉华集团,染料涂料,浙江
600103,青山纸业,造纸,福建
002952,亚世光电,元器件,辽宁
600132,重庆啤酒,啤酒,重庆
300495,美尚生态,环境保护,江苏
300513,恒实科技,软件服务,北京
002606,大连电瓷,电气设备,辽宁
600496,精工钢构,钢加工,安徽
000631,顺发恒业,区域地产,吉林
300601,康泰生物,生物制药,深圳
600133,东湖高新,园区开发,湖北
000987,越秀金控,多元金融,广东
002553,南方轴承,汽车配件,江苏
002495,佳隆股份,食品,广东
300303,聚飞光电,半导体,深圳
300458,全志科技,元器件,广东
601700,风范股份,电气设备,江苏
300482,万孚生物,生物制药,广东
300593,新雷能,电气设备,北京
002821,凯莱英,生物制药,天津
002150,通润装备,机械基件,江苏
603729,龙韵股份,广告包装,上海
600703,三安光电,半导体,湖北
600380,健康元,化学制药,深圳
603345,安井食品,食品,福建
002630,华西能源,专用机械,四川
300383,光环新网,电信运营,北京
002653,海思科,化学制药,西藏
300153,科泰电源,电气设备,上海
603590,康辰药业,化学制药,北京
600210,紫江企业,广告包装,上海
300229,拓尔思,软件服务,北京
000996,中国中期,汽车服务,北京
002329,皇氏集团,乳制品,广西
002046,轴研科技,机械基件,河南
603189,网达软件,软件服务,上海
600874,创业环保,环境保护,天津
300661,圣邦股份,元器件,北京
600339,中油工程,石油加工,新疆
002431,棕榈股份,建筑施工,广东
002558,巨人网络,互联网,重庆
603838,四通股份,陶瓷,广东
002465,海格通信,通信设备,广东
603105,芯能科技,电气设备,浙江
600086,东方金钰,服饰,湖北
603889,新澳股份,纺织,浙江
300118,东方日升,半导体,浙江
603909,合诚股份,建筑施工,福建
002923,润都股份,化学制药,广东
600273,嘉化能源,化工原料,浙江
600389,江山股份,农药化肥,江苏
002064,华峰氨纶,化纤,浙江
300621,维业股份,装修装饰,深圳
603289,泰瑞机器,专用机械,浙江
300379,东方通,软件服务,北京
600981,汇鸿集团,商贸代理,江苏
