,candle_end_time,open,high,low,close,amount,info,DIF,DEA,MACD,max,min,price_new_high,price_new_low,DIF_new_high,DIF_new_low,last_peak_price,last_peak_dif,last_valley_price,last_valley_dif,state,signal
648,2007-12-07,4979.84,5041.78,4977.87,5041.35,27198200.0,,-97.68856445123038,-137.3074749274771,79.23782095249345,5041.35,4979.84,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
649,2007-12-10,4961.67,5138.69,4944.83,5133.56,42780700.0,,-72.53472299008445,-124.35292453999857,103.63640309982824,5133.56,4961.67,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
650,2007-12-11,5162.09,5181.41,5068.03,5140.0,40586500.0,,-51.48695862035311,-109.77973135606948,116.58554547143274,5162.09,5140.0,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
651,2007-12-12,5108.58,5130.72,5033.72,5077.39,39828300.0,,-39.40432888771102,-95.70465086239778,112.60064394937353,5108.58,5077.39,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
652,2007-12-13,5051.78,5067.39,4881.34,4884.3,36819600.0,,-44.89201979361587,-85.5421246486414,81.30020971005106,5051.78,4884.3,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
653,2007-12-14,4827.39,4979.19,4800.24,4977.65,30727900.0,,-41.23317910971036,-76.68033554085521,70.8943128622897,4977.65,4827.39,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
654,2007-12-17,4976.24,4977.57,4855.17,4857.29,37014500.0,,-47.49803978061391,-70.84387638880696,46.69167321638611,4976.24,4857.29,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
655,2007-12-18,4827.26,4883.0,4799.0,4829.91,22930100.0,,-54.04927774464886,-67.48495665997534,26.871357830652954,4829.91,4827.26,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
656,2007-12-19,4877.77,4961.59,4865.35,4946.29,32101900.0,,-49.28219321225788,-63.844403970431856,29.12442151634795,4946.29,4877.77,,,,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
657,2007-12-20,4968.03,5048.06,4935.4,5037.19,31319900.0,,-37.73439543659788,-58.62240226366506,41.77601365413436,5037.19,4968.03,,,1.0,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
658,2007-12-21,5016.46,5103.77,5014.7,5101.85,37251500.0,,-23.098891248414475,-51.51770006061494,56.837617624400934,5101.85,5016.46,,,1.0,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
659,2007-12-24,5142.16,5239.22,5129.6,5207.13,50320000.0,,-2.9706883517064853,-41.80829771883325,77.67521873425353,5207.13,5142.16,,,1.0,,5824.12,176.52001973173537,4842.07,-173.80339735580674,,
